dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,1,1552,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,601.4997410774231,11.0,0.9948453608247423,0.7197943444730077,0.9948453608247423,0.9948453608247423,0.8483290488431876,0.9948453608247423,0.8763,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,2,3104,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,606.5506377220154,11.0,0.9942010309278351,0.7583547557840618,0.9942010309278351,0.9942010309278351,0.8766066838046273,0.9942010309278351,0.7754,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,3,4656,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,605.2277536392212,11.0,0.9884020618556701,0.7429305912596401,0.9884020618556701,0.9884020618556701,0.884318766066838,0.9884020618556701,0.8274,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,4,6208,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,602.2830228805542,11.0,0.9942010309278351,0.7377892030848329,0.9942010309278351,0.9942010309278351,0.8920308483290489,0.9942010309278351,0.8071,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,5,7760,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,601.0955209732056,11.0,0.9929123711340206,0.7377892030848329,0.9929123711340206,0.9929123711340206,0.8817480719794345,0.9929123711340206,0.8598,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,6,9312,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,600.6029236316681,11.0,0.9916237113402062,0.7506426735218509,0.9916237113402062,0.9916237113402062,0.8946015424164524,0.9916237113402062,0.8498,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,7,10864,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,600.2704577445984,11.0,0.9922680412371134,0.7480719794344473,0.9922680412371134,0.9922680412371134,0.8868894601542416,0.9922680412371134,0.8447,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,8,12416,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,602.6401903629303,11.0,0.9942010309278351,0.7583547557840618,0.9942010309278351,0.9942010309278351,0.8766066838046273,0.9942010309278351,0.8882,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,9,13968,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,602.5186719894409,11.0,0.9974226804123711,0.7275064267352185,0.9974226804123711,0.9974226804123711,0.8688946015424165,0.9974226804123711,0.8716,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
steel-plates-fault,27,7,20,0,7,10000,1,1552,389,100,1.0,0.7609254498714653,10,15520,11,1.0,0.7583547557840618,1.0,1.0,0.87146529562982,1.0,0.8173,600.9378144741058,11.0,0.9942010309278351,0.7429305912596401,0.9942010309278351,0.9942010309278351,0.8586118251928021,0.9942010309278351,0.8133,11,0.9961340206185567,0.7660668380462725,0.9961340206185567,0.9961340206185567,0.8997429305912596,0.9961340206185567,0.5767
