prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity
1,5.0,0.9487394957983192,0.9378151260504202,0.9512605042016806
2,5.0,0.9487394957983192,0.9352941176470588,0.9512605042016806
3,5.0,0.9487394957983192,0.9478991596638655,0.9512605042016806
4,5.0,0.9487394957983192,0.938655462184874,0.9512605042016806
5,5.0,0.9487394957983192,0.9571428571428571,0.9512605042016806
6,5.0,0.9487394957983192,0.9378151260504202,0.9512605042016806
7,5.0,0.9487394957983192,0.9504201680672268,0.9512605042016806
8,5.0,0.9487394957983192,0.938655462184874,0.9512605042016806
9,5.0,0.9487394957983192,0.9369747899159663,0.9512605042016806
10,5.0,0.9487394957983192,0.9453781512605042,0.9512605042016806
