prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity
1,38.6,0.9794439890713817,0.978932031818714,0.9792392220992896,1.0,0.9992322169937793,0.9992066246591994
2,38.2,0.9793620889894818,0.9790549678741918,0.9791573220173895,1.0,0.9992322189587526,0.9991810321936214
3,38.6,0.9794439890713817,0.978665955060673,0.9792392220992896,1.0,0.9992117434143115,0.9992066246591994
4,37.8,0.9791778138052066,0.9789525885799814,0.9789116217716893,1.0,0.9991810327176142,0.99917079520739
5,37.8,0.9791778138052066,0.9784816400539608,0.9789116217716893,1.0,0.9991400841176981,0.99917079520739
6,37.8,0.9791778138052066,0.9789525550452973,0.9789116217716893,1.0,0.9990940163696754,0.99917079520739
7,37.8,0.9791778138052066,0.9790959011478,0.9789116217716893,1.0,0.9992936407451418,0.99917079520739
8,37.4,0.978706888334281,0.9782768667941152,0.9787273465874142,1.0,0.9991759143554967,0.9991554397280431
9,37.4,0.978706888334281,0.9799967370752507,0.9787273465874142,1.0,0.9991656763212798,0.9991554397280431
10,37.4,0.978706888334281,0.9791572863867879,0.9787273465874142,1.0,0.9992168607284432,0.9991554397280431
