dataset,index,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-train-acc,prune-test-acc,prune-train-fidelity,prune-test-fidelity,random-prune-train-acc,random-prune-test-acc,random-prune-train-fidelity,random-prune-test-fidelity,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,time
Pima-Diabetes,1,691,77,7,1.0,0.7142857142857143,1.0,0.6883116883116883,1.0,0.8441558441558441,0.9814761215629522,0.6831168831168831,0.9814761215629522,0.8909090909090909,0.9768451519536903,0.6883116883116883,0.9768451519536903,0.922077922077922,44.61781573295593
Pima-Diabetes,2,691,77,7,1.0,0.7532467532467533,1.0,0.7402597402597403,1.0,0.8051948051948052,0.9791606367583213,0.7038961038961039,0.9791606367583213,0.8883116883116884,0.9739507959479016,0.7532467532467533,0.9739507959479016,0.8441558441558441,45.60497713088989
Pima-Diabetes,3,691,77,7,1.0,0.7012987012987013,1.0,0.7012987012987013,1.0,0.8441558441558441,0.9806078147612156,0.6909090909090909,0.9806078147612156,0.8701298701298702,0.984081041968162,0.6883116883116883,0.984081041968162,0.8831168831168831,45.30377793312073
Pima-Diabetes,4,691,77,7,1.0,0.8571428571428571,1.0,0.6753246753246753,1.0,0.7922077922077922,0.975108538350217,0.7818181818181819,0.975108538350217,0.8519480519480519,0.9884225759768451,0.7402597402597403,0.9884225759768451,0.8571428571428571,44.18651580810547
Pima-Diabetes,5,691,77,7,1.0,0.8181818181818182,1.0,0.7662337662337663,1.0,0.922077922077922,0.9771345875542691,0.774025974025974,0.9771345875542691,0.8623376623376622,0.9797395079594791,0.7142857142857143,0.9797395079594791,0.8701298701298701,29.1093327999115
Adult-Income,1,39447,4384,76,0.9651431034045681,0.8052007299270073,0.9651431034045681,0.8045164233576643,1.0,0.9933850364963503,0.965036631429513,0.8069343065693431,0.965036631429513,0.9926094890510949,0.9648895987020559,0.8033759124087592,0.9972114482723654,0.989963503649635,2485.613209962845
Adult-Income,2,39448,4383,100,0.9643581423646319,0.8183892311202373,0.9643581423646319,0.8183892311202373,1.0,1.0,0.9643581423646319,0.8183892311202372,0.9643581423646319,1.0,0.9643581423646319,0.8183892311202373,1.0,1.0,2490.6648919582367
Adult-Income,3,39448,4383,84,0.9642820928817684,0.8236367784622405,0.9642820928817684,0.8240930869267625,1.0,0.9954369153547798,0.9642263232610018,0.8229066849190053,0.9642263232610018,0.9941592516541181,0.9641299939160414,0.8247775496235455,0.998529709997972,0.9929272187999088,2475.7403531074524
Adult-Income,4,39448,4383,88,0.9643327925370108,0.810403832991102,0.9643327925370108,0.811772758384668,1.0,0.9940679899612138,0.964337862502535,0.8105863563769107,0.964337862502535,0.9945242984257359,0.9643581423646319,0.8099475245265799,0.999112756033259,0.9954369153547798,2507.578162908554
Adult-Income,5,39448,4383,78,0.9644848915027378,0.812457221081451,0.9644848915027378,0.8126853753137121,1.0,0.9920146018708647,0.9643987020888259,0.8125941136208077,0.9643987020888259,0.9909194615560117,0.9642820928817684,0.8138261464750172,0.9969580206854594,0.9895049053159937,2508.099797964096
